IT03822240960_25008499.pdf;21510535;PV;001;1799,50;1475,00;,00;324,50;IM22;EUR;09/10/25;
IT02495130011_25006094.pdf;21507513;PV;001;263,54;216,02;,00;47,52;IM22;EUR;16/07/25;
IT03247840360_25009146.pdf;21511244;PD;001;-878,40;-720,00;,00;-158,40;IM22;EUR;24/10/25;
20015548_25009210.pdf;21511309;PV;001;184,93;184,93;,00;,00;IM40;EUR;27/10/25;
20015548_25009210.pdf;21511309;PV;002;203,42;203,42;,00;,00;IM41;EUR;27/10/25;
IT11926150969_25009398.pdf;21511472;PV;001;55,00;55,00;,00;,00;IM64;EUR;30/10/25;
IT07305361003_25008996.pdf;21510993;PV;001;147,46;120,87;,00;26,59;IM22;EUR;20/10/25;
20029723_25009461.pdf;21511567;PL;001;570,00;,00;570,00;,00;NOIVA;EUR;30/10/25;
IT00753490366_25009291.pdf;21511323;PV;001;1332,85;1092,50;,00;240,35;IM22;EUR;27/10/25;
IT01528100348_25009184.pdf;21511291;PV;001;4694,56;3848,00;,00;846,56;IM22;EUR;27/10/25;
IT01528100348_25009184.pdf;21511291;PV;002;272,28;272,28;,00;,00;IM66;EUR;27/10/25;
20029723_25009459.pdf;21511571;PL;001;570,00;,00;570,00;,00;NOIVA;EUR;30/10/25;
IT00468200316_25009348.pdf;21511638;PV;001;80,13;80,13;,00;,00;IM63;EUR;31/10/25;
IT00468200316_25009348.pdf;21511638;PV;002;2,00;2,00;,00;,00;IM66;EUR;31/10/25;
IT00778780163_25009330.pdf;21511420;PV;001;257,00;257,00;,00;,00;IM66;EUR;28/10/25;
IT01718630351_25009099.pdf;21511240;PV;001;1226,10;1005,00;,00;221,10;IM22;EUR;24/10/25;
IT09399880153_25009497.pdf;21511621;PV;001;526,27;431,37;,00;94,90;IM22;EUR;31/10/25;
20029723_25009438.pdf;21511549;PL;001;282,40;,00;282,40;,00;NOIVA;EUR;30/10/25;
20015548_25009206.pdf;21511314;PV;001;184,93;184,93;,00;,00;IM40;EUR;27/10/25;
IT00850400151_25009392.pdf;21511631;PV;001;405,04;332,00;,00;73,04;IM22;EUR;31/10/25;
20010122_25009552.pdf;21511697;PV;001;1611,85;,00;1611,85;,00;NOIVA;USD;31/10/25;
20029723_25009452.pdf;21511559;PL;001;1502,40;,00;1502,40;,00;NOIVA;EUR;30/10/25;
20029723_25009452.pdf;21511559;PL;002;2743,12;,00;2743,12;,00;NOIVA;EUR;30/10/25;
20042102_25009529.pdf;21511642;PL;001;474,80;474,80;,00;,00;IM40;EUR;31/10/25;
IT06458300487_25009285.pdf;21511290;PV;001;131,20;107,54;,00;23,66;IM22;EUR;27/10/25;
IT04209680158_25009351.pdf;21511447;PV;001;26,84;22,00;,00;4,84;IM22;EUR;29/10/25;
20017481_25006907.pdf;21508785;PV;001;475,32;475,32;,00;,00;IM40;EUR;25/08/25;
20019331_25009516.pdf;21511654;PL;001;202,40;202,40;,00;,00;IM40;EUR;31/10/25;
20019331_25009516.pdf;21511654;PL;002;125,40;125,40;,00;,00;IM40;EUR;31/10/25;
IT04209680158_25008558.pdf;21510600;PV;001;1497,32;1497,32;,00;,00;IM64;EUR;10/10/25;
IT04209680158_25008558.pdf;21510600;PV;002;271,06;222,18;,00;48,88;IM22;EUR;10/10/25;
IT04209680158_25008558.pdf;21510600;PV;003;2,00;2,00;,00;,00;IM66;EUR;10/10/25;
20011687_25008547.pdf;21511110;PV;001;2003,96;2003,96;,00;,00;IM40;EUR;21/10/25;
IT02196721209_25008961.pdf;21511399;PV;001;5164,47;4233,17;,00;931,30;IM22;EUR;28/10/25;
IT01975500354_25008836.pdf;21511228;PV;001;41251,87;41251,87;,00;,00;IM63;EUR;24/10/25;
IT00171030356_25009483.pdf;21511610;PV;001;6751,67;6751,67;,00;,00;IM63;EUR;31/10/25;
IT00171030356_25009483.pdf;21511610;PV;002;2,00;2,00;,00;,00;IM66;EUR;31/10/25;
